episode: 215, reward: -204, avg_reward: -189, epsilon: 0.78
episode: 216, reward: -93, avg_reward: -189, epsilon: 0.78
episode: 217, reward: -205, avg_reward: -188, epsilon: 0.78
episode: 218, reward: -210, avg_reward: -188, epsilon: 0.78
episode: 219, reward: -132, avg_reward: -187, epsilon: 0.78
episode: 220, reward: -92, avg_reward: -187, epsilon: 0.78
episode: 221, reward: -94, avg_reward: -186, epsilon: 0.78
episode: 222, reward: -208, avg_reward: -187, epsilon: 0.78
episode: 223, reward: -190, avg_reward: -185, epsilon: 0.78
episode: 224, reward: -366, avg_reward: -187, epsilon: 0.78
episode: 225, reward: -99, avg_reward: -187, epsilon: 0.77
episode: 226, reward: -109, avg_reward: -186, epsilon: 0.77
episode: 227, reward: -50, avg_reward: -184, epsilon: 0.77
episode: 228, reward: -341, avg_reward: -185, epsilon: 0.77
episode: 229, reward: -246, avg_reward: -186, epsilon: 0.77
episode: 230, reward: -176, avg_reward: -185, epsilon: 0.77
episode: 231, reward: -130, avg_reward: -184, epsilon: 0.77
episode: 232, reward: -164, avg_reward: -183, epsilon: 0.77
episode: 233, reward: -174, avg_reward: -183, epsilon: 0.77
episode: 234, reward: -172, avg_reward: -184, epsilon: 0.77
episode: 235, reward: -156, avg_reward: -183, epsilon: 0.76
episode: 236, reward: -157, avg_reward: -181, epsilon: 0.76
episode: 237, reward: -207, avg_reward: -182, epsilon: 0.76
episode: 238, reward: -160, avg_reward: -182, epsilon: 0.76
episode: 239, reward: -228, avg_reward: -183, epsilon: 0.76
episode: 240, reward: -187, avg_reward: -183, epsilon: 0.76
episode: 241, reward: -110, avg_reward: -183, epsilon: 0.76
episode: 242, reward: -96, avg_reward: -183, epsilon: 0.76
episode: 243, reward: -424, avg_reward: -185, epsilon: 0.76
episode: 244, reward: -163, avg_reward: -185, epsilon: 0.76
episode: 245, reward: -115, avg_reward: -184, epsilon: 0.75
episode: 246, reward: -223, avg_reward: -185, epsilon: 0.75
episode: 247, reward: -95, avg_reward: -183, epsilon: 0.75
episode: 248, reward: -146, avg_reward: -180, epsilon: 0.75
episode: 249, reward: -274, avg_reward: -180, epsilon: 0.75
episode: 250, reward: -135, avg_reward: -180, epsilon: 0.75
episode: 251, reward: -221, avg_reward: -180, epsilon: 0.75
episode: 252, reward: -185, avg_reward: -179, epsilon: 0.75
episode: 253, reward: -148, avg_reward: -179, epsilon: 0.75
episode: 254, reward: -271, avg_reward: -179, epsilon: 0.75
episode: 255, reward: -135, avg_reward: -177, epsilon: 0.74
episode: 256, reward: -134, avg_reward: -178, epsilon: 0.74
episode: 257, reward: -136, avg_reward: -176, epsilon: 0.74
episode: 258, reward: -193, avg_reward: -175, epsilon: 0.74
episode: 259, reward: -165, avg_reward: -175, epsilon: 0.74
episode: 260, reward: -22, avg_reward: -173, epsilon: 0.74
episode: 261, reward: -264, avg_reward: -174, epsilon: 0.74
episode: 262, reward: -110, avg_reward: -174, epsilon: 0.74
episode: 263, reward: -63, avg_reward: -173, epsilon: 0.74
episode: 264, reward: -118, avg_reward: -173, epsilon: 0.74
episode: 265, reward: -108, avg_reward: -172, epsilon: 0.73
episode: 266, reward: -87, avg_reward: -172, epsilon: 0.73
episode: 267, reward: -146, avg_reward: -170, epsilon: 0.73
episode: 268, reward: -136, avg_reward: -170, epsilon: 0.73
