episode: 211, reward: -281, avg_reward: -234, epsilon: 0.05
episode: 212, reward: -310, avg_reward: -233, epsilon: 0.05
episode: 213, reward: -102, avg_reward: -231, epsilon: 0.05
episode: 214, reward: -178, avg_reward: -232, epsilon: 0.05
episode: 215, reward: -223, avg_reward: -230, epsilon: 0.05
episode: 216, reward: -183, avg_reward: -230, epsilon: 0.05
episode: 217, reward: -409, avg_reward: -233, epsilon: 0.05
episode: 218, reward: -273, avg_reward: -232, epsilon: 0.05
episode: 219, reward: -156, avg_reward: -231, epsilon: 0.05
episode: 220, reward: -242, avg_reward: -229, epsilon: 0.05
episode: 221, reward: -342, avg_reward: -229, epsilon: 0.05
episode: 222, reward: -231, avg_reward: -228, epsilon: 0.05
episode: 223, reward: -266, avg_reward: -230, epsilon: 0.05
episode: 224, reward: -114, avg_reward: -228, epsilon: 0.05
episode: 225, reward: -354, avg_reward: -229, epsilon: 0.05
episode: 226, reward: -118, avg_reward: -229, epsilon: 0.05
episode: 227, reward: -147, avg_reward: -230, epsilon: 0.05
episode: 228, reward: -328, avg_reward: -232, epsilon: 0.05
episode: 229, reward: -317, avg_reward: -232, epsilon: 0.05
episode: 230, reward: -219, avg_reward: -232, epsilon: 0.05
episode: 231, reward: -369, avg_reward: -229, epsilon: 0.05
episode: 232, reward: -10, avg_reward: -225, epsilon: 0.05
episode: 233, reward: -308, avg_reward: -226, epsilon: 0.05
episode: 234, reward: -272, avg_reward: -228, epsilon: 0.05
episode: 235, reward: -128, avg_reward: -227, epsilon: 0.05
episode: 236, reward: -267, avg_reward: -230, epsilon: 0.05
episode: 237, reward: -387, avg_reward: -231, epsilon: 0.05
episode: 238, reward: -345, avg_reward: -231, epsilon: 0.05
episode: 239, reward: -296, avg_reward: -233, epsilon: 0.05
episode: 240, reward: -171, avg_reward: -230, epsilon: 0.05
episode: 241, reward: -255, avg_reward: -231, epsilon: 0.05
episode: 242, reward: -116, avg_reward: -230, epsilon: 0.05
episode: 243, reward: -157, avg_reward: -230, epsilon: 0.05
episode: 244, reward: -111, avg_reward: -229, epsilon: 0.05
episode: 245, reward: -166, avg_reward: -228, epsilon: 0.05
episode: 246, reward: -102, avg_reward: -227, epsilon: 0.05
episode: 247, reward: -200, avg_reward: -226, epsilon: 0.05
episode: 248, reward: -295, avg_reward: -226, epsilon: 0.05
episode: 249, reward: -285, avg_reward: -225, epsilon: 0.05
episode: 250, reward: -310, avg_reward: -225, epsilon: 0.05
episode: 251, reward: -141, avg_reward: -223, epsilon: 0.05
episode: 252, reward: -122, avg_reward: -219, epsilon: 0.05
episode: 253, reward: -318, avg_reward: -219, epsilon: 0.05
episode: 254, reward: -354, avg_reward: -220, epsilon: 0.05
episode: 255, reward: -427, avg_reward: -223, epsilon: 0.05
episode: 256, reward: -105, avg_reward: -221, epsilon: 0.05
episode: 257, reward: -298, avg_reward: -221, epsilon: 0.05
episode: 258, reward: -197, avg_reward: -220, epsilon: 0.05
episode: 259, reward: -316, avg_reward: -222, epsilon: 0.05
episode: 260, reward: -581, avg_reward: -227, epsilon: 0.05
episode: 261, reward: -88, avg_reward: -226, epsilon: 0.05
episode: 262, reward: -272, avg_reward: -225, epsilon: 0.05
episode: 263, reward: -446, avg_reward: -228, epsilon: 0.05
episode: 264, reward: -255, avg_reward: -229, epsilon: 0.05
episode: 265, reward: -527, avg_reward: -232, epsilon: 0.05
episode: 266, reward: -531, avg_reward: -235, epsilon: 0.05
episode: 267, reward: -39, avg_reward: -231, epsilon: 0.05
episode: 268, reward: -322, avg_reward: -233, epsilon: 0.05
episode: 269, reward: -114, avg_reward: -228, epsilon: 0.05
episode: 270, reward: -417, avg_reward: -231, epsilon: 0.05
episode: 271, reward: -132, avg_reward: -227, epsilon: 0.05
episode: 272, reward: -235, avg_reward: -226, epsilon: 0.05
episode: 273, reward: -201, avg_reward: -227, epsilon: 0.05
episode: 274, reward: -234, avg_reward: -228, epsilon: 0.05
episode: 275, reward: -296, avg_reward: -228, epsilon: 0.05
episode: 276, reward: -255, avg_reward: -229, epsilon: 0.05
episode: 277, reward: -782, avg_reward: -236, epsilon: 0.05
episode: 278, reward: -83, avg_reward: -235, epsilon: 0.05
episode: 279, reward: -262, avg_reward: -235, epsilon: 0.05
episode: 280, reward: -587, avg_reward: -239, epsilon: 0.05
episode: 281, reward: -175, avg_reward: -239, epsilon: 0.05
episode: 282, reward: -220, avg_reward: -238, epsilon: 0.05
episode: 283, reward: -424, avg_reward: -238, epsilon: 0.05
episode: 284, reward: -152, avg_reward: -239, epsilon: 0.05
episode: 285, reward: -53, avg_reward: -240, epsilon: 0.05
episode: 286, reward: -244, avg_reward: -244, epsilon: 0.05
episode: 287, reward: -526, avg_reward: -247, epsilon: 0.05
episode: 288, reward: -496, avg_reward: -247, epsilon: 0.05
episode: 289, reward: -171, avg_reward: -245, epsilon: 0.05
episode: 290, reward: -201, avg_reward: -245, epsilon: 0.05
episode: 291, reward: -589, avg_reward: -250, epsilon: 0.05
episode: 292, reward: -220, avg_reward: -252, epsilon: 0.05
episode: 293, reward: -278, avg_reward: -252, epsilon: 0.05
episode: 294, reward: -598, avg_reward: -256, epsilon: 0.05
episode: 295, reward: -724, avg_reward: -263, epsilon: 0.05
episode: 296, reward: -240, avg_reward: -264, epsilon: 0.05
episode: 297, reward: -119, avg_reward: -264, epsilon: 0.05
episode: 298, reward: -654, avg_reward: -269, epsilon: 0.05
episode: 299, reward: -612, avg_reward: -274, epsilon: 0.05
episode: 300, reward: -578, avg_reward: -276, epsilon: 0.05
episode: 301, reward: -288, avg_reward: -277, epsilon: 0.05
episode: 302, reward: -415, avg_reward: -280, epsilon: 0.05
episode: 303, reward: -634, avg_reward: -282, epsilon: 0.05
episode: 304, reward: -334, avg_reward: -284, epsilon: 0.05
episode: 305, reward: -206, avg_reward: -282, epsilon: 0.05
episode: 306, reward: -208, avg_reward: -282, epsilon: 0.05
episode: 307, reward: -289, avg_reward: -284, epsilon: 0.05
episode: 308, reward: -53, avg_reward: -285, epsilon: 0.05
episode: 309, reward: -279, avg_reward: -285, epsilon: 0.05
episode: 310, reward: -288, avg_reward: -285, epsilon: 0.05
episode: 311, reward: -33, avg_reward: -283, epsilon: 0.05
episode: 312, reward: -112, avg_reward: -281, epsilon: 0.05
episode: 313, reward: -230, avg_reward: -282, epsilon: 0.05
episode: 314, reward: -142, avg_reward: -282, epsilon: 0.05
episode: 315, reward: -118, avg_reward: -281, epsilon: 0.05
episode: 316, reward: -163, avg_reward: -281, epsilon: 0.05
episode: 317, reward: -87, avg_reward: -277, epsilon: 0.05
episode: 318, reward: -333, avg_reward: -278, epsilon: 0.05
episode: 319, reward: -281, avg_reward: -279, epsilon: 0.05
episode: 320, reward: -139, avg_reward: -278, epsilon: 0.05
episode: 321, reward: -305, avg_reward: -278, epsilon: 0.05
episode: 322, reward: -172, avg_reward: -277, epsilon: 0.05
episode: 323, reward: -458, avg_reward: -279, epsilon: 0.05
episode: 324, reward: -163, avg_reward: -280, epsilon: 0.05
episode: 325, reward: -414, avg_reward: -280, epsilon: 0.05
episode: 326, reward: -312, avg_reward: -282, epsilon: 0.05
episode: 327, reward: -151, avg_reward: -282, epsilon: 0.05
episode: 328, reward: -90, avg_reward: -280, epsilon: 0.05
episode: 329, reward: -154, avg_reward: -278, epsilon: 0.05
episode: 330, reward: -132, avg_reward: -277, epsilon: 0.05
episode: 331, reward: -143, avg_reward: -275, epsilon: 0.05
episode: 332, reward: -150, avg_reward: -277, epsilon: 0.05
episode: 333, reward: -161, avg_reward: -275, epsilon: 0.05
episode: 334, reward: -147, avg_reward: -274, epsilon: 0.05
episode: 335, reward: -248, avg_reward: -275, epsilon: 0.05
episode: 336, reward: -285, avg_reward: -275, epsilon: 0.05
