episode: 141, reward: -185, avg_reward: -202, epsilon: 0.93
episode: 142, reward: -126, avg_reward: -201, epsilon: 0.93
episode: 143, reward: -256, avg_reward: -202, epsilon: 0.93
episode: 144, reward: -267, avg_reward: -201, epsilon: 0.93
episode: 145, reward: -587, avg_reward: -206, epsilon: 0.93
episode: 146, reward: -194, avg_reward: -206, epsilon: 0.93
episode: 147, reward: -256, avg_reward: -206, epsilon: 0.93
episode: 148, reward: -193, avg_reward: -207, epsilon: 0.93
episode: 149, reward: -153, avg_reward: -207, epsilon: 0.93
episode: 150, reward: -443, avg_reward: -210, epsilon: 0.93
episode: 151, reward: -222, avg_reward: -211, epsilon: 0.92
episode: 152, reward: -149, avg_reward: -210, epsilon: 0.92
episode: 153, reward: -313, avg_reward: -212, epsilon: 0.92
episode: 154, reward: -48, avg_reward: -211, epsilon: 0.92
episode: 155, reward: -173, avg_reward: -209, epsilon: 0.92
episode: 156, reward: -318, avg_reward: -209, epsilon: 0.92
episode: 157, reward: -183, avg_reward: -209, epsilon: 0.92
episode: 158, reward: -82, avg_reward: -209, epsilon: 0.92
episode: 159, reward: -369, avg_reward: -210, epsilon: 0.92
episode: 160, reward: -316, avg_reward: -212, epsilon: 0.92
episode: 161, reward: -384, avg_reward: -214, epsilon: 0.92
episode: 162, reward: -147, avg_reward: -214, epsilon: 0.92
episode: 163, reward: -209, avg_reward: -215, epsilon: 0.92
episode: 164, reward: -235, avg_reward: -215, epsilon: 0.92
episode: 165, reward: -17, avg_reward: -214, epsilon: 0.92
episode: 166, reward: -392, avg_reward: -215, epsilon: 0.92
episode: 167, reward: -299, avg_reward: -217, epsilon: 0.92
episode: 168, reward: -106, avg_reward: -217, epsilon: 0.92
episode: 169, reward: -367, avg_reward: -217, epsilon: 0.92
episode: 170, reward: -141, avg_reward: -217, epsilon: 0.92
episode: 171, reward: -130, avg_reward: -215, epsilon: 0.91
episode: 172, reward: -161, avg_reward: -215, epsilon: 0.91
episode: 173, reward: -164, avg_reward: -215, epsilon: 0.91
episode: 174, reward: -167, avg_reward: -213, epsilon: 0.91
episode: 175, reward: -136, avg_reward: -212, epsilon: 0.91
episode: 176, reward: -136, avg_reward: -212, epsilon: 0.91
episode: 177, reward: -508, avg_reward: -214, epsilon: 0.91
episode: 178, reward: -154, avg_reward: -214, epsilon: 0.91
episode: 179, reward: -227, avg_reward: -215, epsilon: 0.91
episode: 180, reward: -407, avg_reward: -216, epsilon: 0.91
episode: 181, reward: -279, avg_reward: -218, epsilon: 0.91
episode: 182, reward: -128, avg_reward: -217, epsilon: 0.91
episode: 183, reward: -246, avg_reward: -215, epsilon: 0.91
episode: 184, reward: -187, avg_reward: -215, epsilon: 0.91
episode: 185, reward: -67, avg_reward: -214, epsilon: 0.91
episode: 186, reward: -116, avg_reward: -214, epsilon: 0.91
episode: 187, reward: -178, avg_reward: -213, epsilon: 0.91
episode: 188, reward: -294, avg_reward: -214, epsilon: 0.91
episode: 189, reward: -210, avg_reward: -216, epsilon: 0.91
episode: 190, reward: -132, avg_reward: -216, epsilon: 0.91
episode: 191, reward: -170, avg_reward: -215, epsilon: 0.90
episode: 192, reward: -307, avg_reward: -216, epsilon: 0.90
episode: 193, reward: -256, avg_reward: -216, epsilon: 0.90
episode: 194, reward: -141, avg_reward: -214, epsilon: 0.90
episode: 195, reward: -187, avg_reward: -213, epsilon: 0.90
episode: 196, reward: -107, avg_reward: -213, epsilon: 0.90
episode: 197, reward: -151, avg_reward: -213, epsilon: 0.90
episode: 198, reward: -181, avg_reward: -213, epsilon: 0.90
episode: 199, reward: -214, avg_reward: -214, epsilon: 0.90
episode: 200, reward: -126, avg_reward: -214, epsilon: 0.90
episode: 201, reward: -228, avg_reward: -214, epsilon: 0.90
episode: 202, reward: -177, avg_reward: -214, epsilon: 0.90
episode: 203, reward: -161, avg_reward: -211, epsilon: 0.90
episode: 204, reward: -218, avg_reward: -212, epsilon: 0.90
episode: 205, reward: -292, avg_reward: -212, epsilon: 0.90
episode: 206, reward: -156, avg_reward: -211, epsilon: 0.90
episode: 207, reward: -152, avg_reward: -211, epsilon: 0.90
episode: 208, reward: -246, avg_reward: -211, epsilon: 0.90
episode: 209, reward: -51, avg_reward: -207, epsilon: 0.90
episode: 210, reward: -155, avg_reward: -205, epsilon: 0.90
episode: 211, reward: -194, avg_reward: -206, epsilon: 0.89
episode: 212, reward: -184, avg_reward: -205, epsilon: 0.89
episode: 213, reward: -149, avg_reward: -205, epsilon: 0.89
episode: 214, reward: -159, avg_reward: -205, epsilon: 0.89
episode: 215, reward: -148, avg_reward: -204, epsilon: 0.89
episode: 216, reward: -164, avg_reward: -203, epsilon: 0.89
episode: 217, reward: -217, avg_reward: -203, epsilon: 0.89
episode: 218, reward: -298, avg_reward: -203, epsilon: 0.89
episode: 219, reward: -216, avg_reward: -204, epsilon: 0.89
episode: 220, reward: -198, avg_reward: -204, epsilon: 0.89
episode: 221, reward: -142, avg_reward: -204, epsilon: 0.89
episode: 222, reward: -168, avg_reward: -202, epsilon: 0.89
episode: 223, reward: -228, avg_reward: -202, epsilon: 0.89
episode: 224, reward: -221, avg_reward: -203, epsilon: 0.89
episode: 225, reward: -187, avg_reward: -203, epsilon: 0.89
episode: 226, reward: -146, avg_reward: -203, epsilon: 0.89
episode: 227, reward: -187, avg_reward: -203, epsilon: 0.89
episode: 228, reward: -471, avg_reward: -206, epsilon: 0.89
episode: 229, reward: -230, avg_reward: -207, epsilon: 0.89
episode: 230, reward: -153, avg_reward: -208, epsilon: 0.89
episode: 231, reward: -129, avg_reward: -206, epsilon: 0.88
episode: 232, reward: -232, avg_reward: -207, epsilon: 0.88
episode: 233, reward: -141, avg_reward: -207, epsilon: 0.88
episode: 234, reward: -265, avg_reward: -208, epsilon: 0.88
episode: 235, reward: -152, avg_reward: -206, epsilon: 0.88
episode: 236, reward: -291, avg_reward: -208, epsilon: 0.88
episode: 237, reward: -169, avg_reward: -208, epsilon: 0.88
episode: 238, reward: -325, avg_reward: -210, epsilon: 0.88
episode: 239, reward: -67, avg_reward: -209, epsilon: 0.88
episode: 240, reward: -53, avg_reward: -207, epsilon: 0.88
episode: 241, reward: -149, avg_reward: -207, epsilon: 0.88
episode: 242, reward: -105, avg_reward: -207, epsilon: 0.88
episode: 243, reward: -307, avg_reward: -207, epsilon: 0.88
episode: 244, reward: -102, avg_reward: -205, epsilon: 0.88
episode: 245, reward: -180, avg_reward: -201, epsilon: 0.88
episode: 246, reward: -315, avg_reward: -203, epsilon: 0.88
episode: 247, reward: -101, avg_reward: -201, epsilon: 0.88
episode: 248, reward: -359, avg_reward: -203, epsilon: 0.88
episode: 249, reward: -209, avg_reward: -203, epsilon: 0.88
episode: 250, reward: -190, avg_reward: -201, epsilon: 0.88
episode: 251, reward: -80, avg_reward: -199, epsilon: 0.87
episode: 252, reward: -476, avg_reward: -203, epsilon: 0.87
episode: 253, reward: -95, avg_reward: -200, epsilon: 0.87
